Thread Count,Trial,Parallel Time,Array Size,Chunk Size
1,1,2.0729949998855592,100000,50
1,2,2.5852300000190733,100000,50
1,3,2.577,100000,50
1,4,2.578179999828339,100000,50
1,5,2.5938200001716614,100000,50
2,1,1.0921549997329711,100000,50
2,2,1.3813300004005433,100000,50
2,3,1.3819299998283385,100000,50
2,4,1.3844100003242492,100000,50
2,5,1.3808049998283387,100000,50
3,1,0.9756300001144409,100000,50
3,2,1.0476849999427795,100000,50
3,3,5.636144999980926,100000,50
3,4,2.4885750002861022,100000,50
3,5,0.9747550001144409,100000,50
4,1,0.8073650002479553,100000,50
4,2,0.764875,100000,50
4,3,0.7515949997901916,100000,50
4,4,0.7492999997138977,100000,50
4,5,0.7548899998664856,100000,50
5,1,0.7170149998664856,100000,50
5,2,0.6871849999427796,100000,50
5,3,0.6847699999809265,100000,50
5,4,0.6866950001716614,100000,50
5,5,0.7804100003242492,100000,50
6,1,0.6480250000953675,100000,50
6,2,0.6349099998474121,100000,50
6,3,0.6312699999809265,100000,50
6,4,0.6314749999046325,100000,50
6,5,0.630170000076294,100000,50
7,1,0.6007300000190735,100000,50
7,2,0.574880000114441,100000,50
7,3,0.5899100003242492,100000,50
7,4,0.5741549997329712,100000,50
7,5,0.5726149997711182,100000,50
8,1,0.5370499997138977,100000,50
8,2,0.523375,100000,50
8,3,0.5271750001907348,100000,50
8,4,0.5274900002479553,100000,50
8,5,0.5561100001335144,100000,50