Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,5.724415,5.825608958,100000
1,2,5.727653040999998,5.746716916,100000
1,3,5.733996457999998,5.744133167,100000
2,1,5.732249791999995,3.061813540999996,100000
2,2,5.740969334000002,3.066899083999997,100000
2,3,5.72772425,3.068576500000003,100000
3,1,5.724088833000009,2.145602541999993,100000
3,2,5.721664833000003,2.144190374999991,100000
3,3,5.731794708000002,2.1430257920000004,100000
4,1,5.753388082999998,1.6378940830000066,100000
4,2,5.811244290999995,1.6336511250000039,100000
4,3,6.787595791999993,1.808558917000002,100000
5,1,5.854557041000008,1.9032335829999938,100000
5,2,5.791100292000003,1.4061995000000025,100000
5,3,5.777408208000008,1.410108374999996,100000
6,1,5.823178916000004,1.226340291000015,100000
6,2,5.76149900000001,1.229420374999987,100000
6,3,5.770054082999995,1.2332311660000124,100000
7,1,5.7680981250000185,1.10200358400002,100000
7,2,5.984630332999979,1.1212032500000204,100000
7,3,6.3049097920000206,1.9038847499999974,100000
8,1,5.979399417000008,1.1056464170000109,100000
8,2,5.921517332999996,1.0929982500000042,100000
8,3,5.8650355419999975,1.0289759579999955,100000